text,label
"Lisa Diamond- Welcome to Xero product ideas, where important product feature requests go to die.  Or just ignored for decades.  It's been over THIRTEEN years Xero seriously!!",0
"I can't believe Xero hasn't thought about this when creating this software. Customers would require different delivery address to manage inventory. 
Also it updates the address to all invoiced/quotes for the particular customer. It's very hard to trust the system and have to keep separate system to ensure orders are shipped to correct address. Not sure why it is taking so long for Xero developers to add a field and make it operational. ",0
"Hi Kelly , i have looked back through the threads on this subject and it seams this issue has been raised since 2020 , is it ever going to happen?

BTW todays upgrade has screwed with all our internal workarounds that we have used to get around the lack of Multiple deliver addresses .... we like Xero but if you cant do this simple change in 2 years i think its time for us to bite the bullet and go back to softwear that can....",0
Agree with Benjamin on 16.08.22 - this is such a basic feature. Time to move a batch of clients back to Sage - hugely embarrassing and a complete waste of time.,0
This is incredibly important - we have many customers with multiple service locations and some of these customers won't accept Xero invoices due to the fact we can't show the service location address on the invoice unless we update it on the system every single time which is time consuming when Xero is supposed to be making our lives easier!,0
"WAY TO GO XERO......

Instead of fixing this issue, you have changed the way that you update client details.  Instead of amending client postal address, physical address and phone number etc on the one screen, lets put in a process that takes three times as long as you have to go into three different screens to update this information.

Why do your programmers insist on creating more problems instead of fixing that ones that we have been asking for for over 10 years......

Seriously, where is the thought process here??",0
"Very disappointed after been sold Xero as very intuitive and easy software and turns out that one of the most basic fields on invoicing is not been implemented from the start. I cannot believe that every time we have to resend invoices we have to type manually the delivery address and save it in the pc doubling the work and making other functionalities on Xero worthless. 

This is a very basic functionality and the fact that changes the invoice details based on the contact address is just very poor.

I hope you can resolve this very soon as I can see people are been asking for a few years already and nothing is been done yet.
",0
"is Xero ever going to fix this???
seems like a fairly basic requirement and yet no comment from Xero on when a fix will be implemented. I asked for this over 5 years ago and was told it was being done then. so far silence! happy to take my money though. ",0
I find it appalling that this is not an option.  I have one client with 8 different stores and I cannot save their delivery addresses under the one account.  Xero get your act together!,0
It seems this Product Idea was created in 2012 - 10 years ago! Is this idea ever going to be a reality? Something that seems so essential Xero is missing. Quite disappointing.,0
We will not jump on-board till this issue is addressed,0
"Again I like to voice my frustration about Xero's present ""simple"" address management. We just prepared a quote to a client and client requested on the quote the address to be for branch B. So we had to change the client's address to address B and then issue the quote. 

What I did not expect is that this procedure also changes the address on all former and accepted quotes to this client. Quotes are important contractual and legal document forming part of the purchase contract and once a quote is accepted it should never change. At least not unintentionally.",0
"Hello XERO! Please make this possible by this quarter! This feature is very critical! There is an option to choose multiple addresses in Purchase but NOT in SALES. How come???

I am looking forward to this feature very soon!!!",0
"Just spent ages trying to figure out why I can't have multiple customer names/addresses for the same business. Now I find out this isn't supported!!
Sorry but this is a pathetic oversight. I'm now regretting migrating to Xero from MYOB.
This is a MUST HAVE FEATURE!",0
"Greg, I totally agree with you. Regretting moving from Reckon Desktop. Xero has created twice as much work for me, without the basic functionality that even Open Source packages have. We have one customer that may have 100 different site addresses in one year, and Xero is creating a nightmare.",0
"Can we get an estimated date when this might be available, this is very frustrating for a significant number of users and has been on the to-do list forever. 
I have read the statement above that suggests it's being looked at, but it's still very non-specific as to when we might actually see something. ",0
"378 votes and 10 months and still nothing from Xero. Kelly Munro stated in September that Xero are working on it, but nothing since then. This is unacceptable in terms of basic customer service in A) sorting out an issue that so many are being inconvenienced by and B) updating their clients as to progress. I am really not interested in excuses from Xero about how complex their systems are, we need solutions not excuses and platitudes. I find it inconceivable that Xero do not have coders / IT specialists who could sort this out quickly if there is there is actually the will to do it.
Maybe it's time to take to Twitter (@Xero) to advise potential new clients how poorly their customers are treated......",0
"I think xero is overthinking this.  The way it works in quickbooks and others is you can freeform paste in a shipping address during invoice creating.  Since our clients jobs (contruction) go from address to address, it is not important to keep this info in a record beyond just the invoice.

Let me repeat: we have customers where the shipping invoice is NEVER the same and it changes EVERY bill.

What most people are doing now in xero is adding it to the reference field or pasting in a ""freight"" item line.  So why not just have an optionally-filled ship to line that can be pasted into as customers are already doing with these workarounds??",0
